,v,vw,o,c,h,l,t,n
0,2808803.0,60.0759,59.5,60.12,60.415,59.41,1600056000000,30136
1,4129230.0,60.8323,59.87,60.71,61.44,59.87,1600142400000,27108
2,4174847.0,60.2623,60.95,59.87,61.42,59.75,1600228800000,29691
3,4289816.0,58.0741,59.13,57.78,59.89,57.42,1600315200000,29677
4,5392814.0,56.7119,57.16,56.45,57.81,56.34,1600401600000,27615
5,5044449.0,54.1749,55.07,54.19,55.46,53.65,1600660800000,34915
6,3824584.0,54.7913,54.15,54.71,55.705,54.06,1600747200000,24346
7,2752674.0,52.7524,54.35,51.96,54.84,51.86,1600833600000,22049
8,2757196.0,52.2561,51.66,51.87,53.16,51.22,1600920000000,26426
9,2565868.0,52.6834,51.69,53.26,53.31,51.41,1601006400000,22393
10,2437174.0,54.4317,54.8,54.39,54.94,53.96,1601265600000,19671
11,2071324.0,54.0908,54.03,54.5,54.63,53.32,1601352000000,20122
12,3420725.0,55.0086,55.17,55.09,56.24,53.93,1601438400000,25410
13,4069173.0,55.5169,55.22,56.42,56.45,54.31,1601524800000,27996
14,2587085.0,57.3964,55.4,57.94,58.19,54.91,1601611200000,21195
15,3200660.0,57.3892,58.2,57.47,58.57,56.57,1601870400000,18933
16,3472903.0,56.9283,57.87,56.66,57.95,56.27,1601956800000,22001
17,2768051.0,56.2956,56.99,56.1,57.23,55.63,1602043200000,19480
18,3528525.0,57.0899,56.61,57.22,57.5,56.26,1602129600000,19047
19,1425674.0,56.3914,57.66,56.31,57.66,55.83,1602216000000,14942
20,1508795.0,55.8525,56.44,55.87,56.44,55.26,1602475200000,13866
21,2154485.0,54.2978,55.23,54.26,55.38,53.48,1602561600000,21139
22,1973888.0,54.0635,54.31,53.87,54.7,53.62,1602648000000,16135
23,2318712.0,54.9012,53.34,55.05,55.52,53.24,1602734400000,19616
24,2737691.0,54.4337,54.02,54.28,55.36,53.34,1602820800000,21218
25,2158244.0,53.0715,54.74,52.58,54.74,52.4815,1603080000000,19255
26,1767936.0,53.8934,53.49,54.09,54.31,53.18,1603166400000,14818
27,2122596.0,53.8389,53.71,53.71,54.42,53.09,1603252800000,17264
28,4290969.0,55.0939,53.58,55.25,55.49,53.42,1603339200000,15290
29,1369027.0,55.9727,55.67,56.26,56.55,55.325,1603425600000,13699
30,2240240.0,55.3168,55.58,55.7,55.79,54.69,1603684800000,21493
31,1902596.0,54.7181,55.72,54.03,56.04,53.97,1603771200000,19701
32,3065208.0,52.5044,53.01,52.26,53.68,52.12,1603857600000,24465
33,3377642.0,54.259,52.28,54.63,55.52,51.66,1603944000000,31222
34,1832024.0,53.4353,54.25,53.77,54.68,52.57,1604030400000,16857
35,2091208.0,55.8783,54.1,56.74,56.8,53.48,1604293200000,26463
36,3013492.0,58.7404,57.64,59.01,59.53,57.0,1604379600000,29121
37,2168079.0,57.6775,58.78,56.99,58.78,56.92,1604466000000,20803
38,2711993.0,56.9495,57.5,56.85,57.7,56.19,1604552400000,21607
39,1916933.0,55.7575,57.38,55.5,57.9899,54.83,1604638800000,17444
40,7900517.0,66.5779,60.95,66.66,72.24,60.635,1604898000000,66951
41,5864433.0,68.1817,67.13,67.84,69.365,65.86,1604984400000,47953
