,v,vw,o,c,h,l,t,n
0,7537151.0,37.4372,35.73,37.64,38.5,35.08,1600315200000,55301
1,10486672.0,37.2302,37.43,36.21,39.24,35.66,1600401600000,64073
2,3738069.0,35.0901,35.36,35.19,35.74,34.55,1600660800000,34030
3,2700770.0,34.4153,35.01,34.38,35.38,33.715,1600747200000,26605
4,2177235.0,33.4036,34.41,32.83,34.6,32.81,1600833600000,23733
5,2413158.0,32.9698,32.83,33.06,33.815,32.005,1600920000000,24296
6,5195477.0,35.1493,32.61,35.81,36.27,32.58,1601006400000,42771
7,4214075.0,34.8452,36.07,34.98,36.35,34.32,1601265600000,35218
8,2893340.0,34.3541,35.01,34.25,35.02,33.82,1601352000000,24133
9,2120275.0,34.8038,34.6,34.74,35.41,34.25,1601438400000,22490
10,2166547.0,34.2322,35.0,34.06,35.39,33.8,1601524800000,23285
11,2598455.0,34.854,33.48,35.02,35.34,33.18,1601611200000,26511
12,3791136.0,36.5784,35.63,36.77,36.99,35.36,1601870400000,31720
13,2984427.0,36.4225,36.67,36.11,37.06,35.95,1601956800000,24713
14,2957379.0,37.3432,36.7,37.19,37.88,36.6585,1602043200000,23078
15,1664859.0,37.4628,37.29,37.77,37.88,36.8843,1602129600000,15599
16,2797396.0,37.8763,38.2,37.8,38.57,37.44,1602216000000,21901
17,3634462.0,39.4698,38.93,38.98,40.255,38.68,1602475200000,29604
18,2223118.0,38.0621,38.59,37.92,38.86,37.7,1602561600000,18244
19,1842215.0,38.2091,38.43,38.1,38.54,37.95,1602648000000,15246
20,3288882.0,38.9406,37.55,39.64,39.7,37.45,1602734400000,29021
21,5141772.0,40.9516,40.39,40.98,41.76,39.84,1602820800000,43120
22,3812263.0,41.2819,41.14,41.08,42.04,40.79,1603080000000,32316
23,2433059.0,40.2487,41.42,40.12,41.64,39.64,1603166400000,23912
24,4055739.0,40.3778,40.01,40.32,41.23,39.94,1603252800000,33890
25,1623666.0,40.402,40.25,40.4,40.6799,40.03,1603339200000,16825
26,1720468.0,40.3594,40.77,40.24,40.981,40.11,1603425600000,14894
27,2957926.0,38.7163,38.39,38.71,39.47,38.2,1603684800000,26628
28,2060768.0,38.5486,38.61,38.3,39.01,38.28,1603771200000,20934
29,2137262.0,37.0946,37.53,36.73,38.0,36.68,1603857600000,22557
30,1880932.0,37.3197,36.7,37.43,37.78,36.59,1603944000000,20900
31,2442286.0,37.4455,37.23,37.55,37.79,36.82,1604030400000,18612
32,2377040.0,39.0008,38.25,39.11,39.43,37.9862,1604293200000,25957
33,1850146.0,39.9739,39.7,39.76,40.5,39.54,1604379600000,22492
34,2200166.0,38.8828,39.12,38.51,39.75,37.6,1604466000000,22340
35,2455078.0,39.375,38.8,39.23,40.23,37.05,1604552400000,22614
36,1536323.0,39.0422,39.5,39.02,39.57,38.64,1604638800000,15409
37,3154288.0,40.2228,41.41,40.34,41.88,38.71,1604898000000,31161
38,2455728.0,41.4483,40.02,41.73,41.82,39.9772,1604984400000,27667
39,1713866.0,41.3928,41.85,41.22,42.38,40.935,1605070800000,18232
40,2609172.0,39.1555,40.51,38.94,40.51,38.465,1605157200000,24030
41,2661487.0,40.3111,39.69,40.45,40.73,39.34,1605243600000,30569
42,4677647.0,42.5281,41.8,42.55,43.23,41.49,1605502800000,35337
43,5139507.0,43.2042,42.33,43.61,44.02,42.02,1605589200000,38776
44,2727481.0,44.0047,43.5,43.78,44.65,42.91,1605675600000,25465
45,1805286.0,42.5641,43.19,42.59,43.6,41.95,1605762000000,23031
46,1816621.0,42.3,42.59,42.21,42.68,41.75,1605848400000,15829
47,1973675.0,43.0868,43.0,43.12,43.86,42.61,1606107600000,18137
48,2392939.0,44.8974,43.86,45.43,45.58,43.54,1606194000000,24269
49,1437051.0,44.2353,44.93,44.06,45.0,43.51,1606280400000,14972
50,550776.0,43.9202,43.88,44.06,44.21,43.58,1606453200000,6552
51,2632781.0,42.4716,43.69,42.21,43.71,42.14,1606712400000,20458
52,1800756.0,43.0668,43.02,43.09,43.62,42.62,1606798800000,16079
53,1457463.0,43.2286,42.75,43.47,43.5,42.32,1606885200000,12694
54,2319289.0,43.2924,43.54,42.86,44.11,42.69,1606971600000,19196
55,1540013.0,44.3277,43.81,44.48,44.765,43.5,1607058000000,18222
56,1527876.0,44.3419,44.11,44.52,44.75,43.43,1607317200000,16924
57,1328956.0,44.9394,44.09,45.11,45.21,44.09,1607403600000,14684
58,1320256.0,44.9953,45.28,44.89,45.58,44.51,1607490000000,13332
59,1787634.0,44.0918,44.35,43.91,44.57,43.815,1607576400000,18397
