,v,vw,o,c,h,l,t,n
0,1172115.0,84.4835,85.07,84.21,85.35,83.49,1600056000000,11599
1,804880.0,84.5435,84.5,84.41,85.6,84.07,1600142400000,9848
2,1243124.0,85.2274,84.6,85.21,87.64,83.88,1600228800000,11990
3,1085570.0,85.4585,84.29,85.85,86.27,83.315,1600315200000,13301
4,2040022.0,86.009,85.84,85.59,87.26,85.42,1600401600000,14653
5,1439393.0,83.178,83.72,83.46,84.0,82.31,1600660800000,12788
6,1083079.0,83.6731,83.21,83.93,84.09,82.72,1600747200000,9237
7,928424.0,83.0529,83.95,82.43,84.55,82.335,1600833600000,10570
8,1052603.0,82.221,82.26,82.2,83.22,81.425,1600920000000,10074
9,861831.0,82.7451,81.69,83.06,83.28,81.15,1601006400000,9042
10,823767.0,84.0571,84.21,83.86,84.97,83.66,1601265600000,7962
11,902807.0,83.8225,84.39,83.77,84.39,83.3,1601352000000,7650
12,887652.0,84.3311,83.88,84.12,85.16,83.42,1601438400000,11866
13,709753.0,82.8737,84.5,82.56,84.98,81.9092,1601524800000,11541
14,627635.0,83.8854,80.95,84.43,85.02,80.95,1601611200000,10274
15,431292.0,86.1084,85.13,86.32,86.52,85.0,1601870400000,7130
16,616079.0,86.9009,87.24,86.51,88.6,85.92,1601956800000,9903
17,611691.0,88.2054,87.25,88.2,88.82,87.132,1602043200000,7947
18,574202.0,89.4176,89.07,89.83,89.865,88.055,1602129600000,9106
19,736306.0,90.4712,90.55,90.59,91.27,89.81,1602216000000,9413
20,789974.0,92.0034,90.99,91.87,93.145,90.815,1602475200000,11950
21,784684.0,90.4622,91.51,89.89,92.31,89.67,1602561600000,11653
22,788598.0,91.0052,90.34,90.82,91.52,89.96,1602648000000,9861
23,542687.0,90.8833,89.93,90.97,91.465,89.44,1602734400000,9138
24,1556224.0,91.6842,91.12,91.52,92.66,90.7,1602820800000,12863
25,798896.0,90.6048,91.05,90.42,91.59,89.9,1603080000000,11809
26,787945.0,91.448,91.2,91.48,92.38,90.59,1603166400000,11142
27,898326.0,91.1367,91.48,90.77,92.3,90.49,1603252800000,12171
28,1283818.0,90.8948,91.13,90.86,91.65,90.41,1603339200000,12123
29,744471.0,91.2252,91.59,91.59,91.79,90.49,1603425600000,8953
30,498854.0,89.8122,90.28,90.07,90.83,89.01,1603684800000,7813
31,749151.0,89.393,89.76,89.06,90.295,88.63,1603771200000,12194
32,965454.0,87.627,87.44,87.35,88.49,86.86,1603857600000,14104
33,1286806.0,86.3192,87.1,86.86,88.5,84.14,1603944000000,18199
34,862689.0,86.7236,87.04,87.14,88.0126,85.64,1604030400000,11886
35,1036161.0,88.5831,88.84,88.59,90.24,87.67,1604293200000,14377
36,987874.0,91.2167,89.45,91.61,92.02,89.45,1604379600000,12790
37,1055719.0,87.3758,90.42,86.78,90.98,85.58,1604466000000,13986
38,1088855.0,90.5098,88.99,90.82,91.58,87.91,1604552400000,14550
39,536109.0,91.2205,90.68,91.08,91.845,90.55,1604638800000,8896
40,1092945.0,95.265,98.04,93.53,99.06,93.43,1604898000000,14009
41,1041490.0,95.2752,94.14,95.11,96.48,94.032,1604984400000,13159
42,950871.0,94.1811,95.89,93.8,96.34,93.105,1605070800000,12465
43,558568.0,92.3255,93.29,92.36,93.63,91.37,1605157200000,9983
44,662144.0,94.4269,92.51,94.99,95.23,92.51,1605243600000,10324
45,1017203.0,96.8318,96.59,97.39,97.84,95.43,1605502800000,14481
46,752275.0,96.0215,96.83,95.95,97.07,95.01,1605589200000,10771
47,655401.0,95.4793,96.03,94.98,96.49,94.67,1605675600000,9407
48,789297.0,94.276,94.81,94.37,95.195,93.6,1605762000000,12410
49,677487.0,94.4981,94.56,94.38,95.42,93.66,1605848400000,9467
50,554239.0,94.7386,95.35,94.7,95.89,94.0,1606107600000,8643
51,1170510.0,97.4701,96.14,97.52,98.59,95.8,1606194000000,15499
52,914441.0,96.9943,97.43,96.69,97.7,96.17,1606280400000,14555
53,453278.0,97.2266,97.36,97.14,98.155,96.53,1606453200000,6633
54,1518890.0,95.9322,96.82,95.97,97.12,95.06,1606712400000,14537
55,1048438.0,97.3407,97.52,97.07,98.245,96.965,1606798800000,14869
56,748774.0,95.9515,96.23,96.14,96.8,95.14,1606885200000,11594
57,1326902.0,97.1028,96.49,96.75,97.97,96.29,1606971600000,12383
58,899813.0,98.4575,97.58,98.41,99.39,97.48,1607058000000,11480
59,884175.0,98.2194,98.65,98.2,98.99,97.41,1607317200000,10769
60,833385.0,98.6177,97.73,98.63,99.33,97.57,1607403600000,11362
61,1127380.0,98.4749,98.98,98.53,99.415,97.73,1607490000000,12981
62,715581.0,97.9495,97.83,98.21,98.6,96.975,1607576400000,11656
63,746588.0,98.2634,97.4,98.48,98.78,97.32,1607662800000,9990
64,694906.0,97.9486,99.26,97.14,99.54,97.06,1607922000000,10593
65,921590.0,99.207,97.47,99.77,99.99,97.19,1608008400000,14252
66,912155.0,99.0496,100.0,99.02,100.365,98.455,1608094800000,13103
67,978835.0,99.476,99.56,99.75,100.29,98.71,1608181200000,13969
68,1920345.0,99.805,99.84,100.05,100.64,98.79,1608267600000,12430
69,1041913.0,100.2251,98.3,100.72,101.27,97.63,1608526800000,13600
