,v,vw,o,c,h,l,t,n
0,2507776.0,31.4217,31.28,31.42,31.75,31.03,1600401600000,13876
1,1536054.0,29.9333,30.69,29.81,30.95,29.49,1600660800000,14590
2,1860279.0,28.8021,29.66,28.62,30.11,28.51,1600747200000,18654
3,1524501.0,28.6433,28.78,28.25,29.39,28.185,1600833600000,16671
4,1255397.0,28.2987,28.27,28.22,28.8829,27.68,1600920000000,17726
5,1546593.0,28.2522,27.82,28.45,28.54,27.55,1601006400000,19300
6,1478740.0,29.3782,28.99,29.38,29.64,28.83,1601265600000,17906
7,1437237.0,29.0287,29.2202,28.97,29.56,28.54,1601352000000,16872
8,1911613.0,29.1777,29.08,29.22,29.57,28.87,1601438400000,18612
9,1515206.0,29.084,29.22,29.12,29.57,28.79,1601524800000,18339
10,3176106.0,29.3991,28.76,29.85,29.96,28.57,1601611200000,32025
11,1567942.0,31.1664,30.39,31.28,31.49,30.39,1601870400000,18610
12,1621728.0,31.4846,31.66,30.9,32.34,30.81,1601956800000,17937
13,1318967.0,32.0273,31.27,32.15,32.27,31.27,1602043200000,16187
14,992423.0,32.0066,32.23,32.14,32.33,31.63,1602129600000,12883
15,910214.0,31.7977,32.32,31.575,32.5,31.47,1602216000000,11448
16,980529.0,31.69,31.54,31.83,31.9,31.42,1602475200000,14861
17,1123179.0,30.7444,31.6,30.53,31.67,30.51,1602561600000,14852
18,1348834.0,30.473,30.66,30.23,31.0,30.21,1602648000000,16893
19,1852746.0,30.8339,29.83,31.17,31.18,29.83,1602734400000,20393
20,1831214.0,31.0069,31.1,31.14,31.33,30.46,1602820800000,18895
21,1515671.0,30.7175,31.36,30.22,31.5208,30.22,1603080000000,18525
22,2618665.0,30.6182,31.58,30.52,31.58,30.01,1603166400000,28772
23,1875897.0,30.4205,30.33,30.06,31.11,30.04,1603252800000,21109
24,2436697.0,31.8227,30.25,32.25,32.35,30.06,1603339200000,25977
25,3093008.0,32.8338,32.61,33.2,33.32,32.03,1603425600000,31293
26,2216382.0,32.3344,32.89,32.46,32.89,31.995,1603684800000,29743
27,1786058.0,31.4301,32.12,31.08,32.63,31.08,1603771200000,20529
28,1981994.0,30.6783,30.29,30.6,31.14,30.27,1603857600000,21776
29,1885909.0,31.0842,30.34,31.56,31.715,29.83,1603944000000,24515
30,1732148.0,31.9457,31.33,32.27,32.31,31.24,1604030400000,20591
31,1210856.0,32.9849,32.72,33.215,33.35,31.91,1604293200000,20228
32,1876816.0,34.3361,33.62,34.46,34.7,33.53,1604379600000,22660
33,4176342.0,31.3055,32.34,30.94,32.84,30.605,1604466000000,45328
34,2190844.0,32.3964,31.15,32.58,32.81,31.1,1604552400000,24000
35,1755999.0,32.3061,32.92,31.95,33.21,31.72,1604638800000,20368
36,5289529.0,39.5694,35.0,39.58,40.895,34.96,1604898000000,65286
37,2506221.0,39.1434,39.63,38.98,39.88,38.46,1604984400000,30985
38,2713875.0,37.2603,38.78,37.24,39.0,36.49,1605070800000,31771
39,1748354.0,36.2653,36.24,36.33,36.94,35.74,1605157200000,23514
40,1486420.0,37.5026,36.75,37.48,37.79,36.35,1605243600000,21080
41,2137953.0,39.6195,40.335,39.75,40.78,38.91,1605502800000,27114
42,1812851.0,39.2695,38.74,39.6,39.705,38.44,1605589200000,21334
43,1552506.0,39.3747,39.96,38.94,40.14,38.93,1605675600000,19532
44,1993586.0,38.1684,38.35,38.39,38.7,37.72,1605762000000,24759
45,2011376.0,38.1712,38.012,38.285,38.54,37.67,1605848400000,24924
46,1872544.0,39.3569,38.95,39.56,39.635,38.72,1606107600000,24793
47,2579561.0,41.7038,40.44,41.86,42.24,40.06,1606194000000,33814
48,2633857.0,40.7789,40.88,40.95,41.05,40.31,1606280400000,33184
49,2027906.0,39.7234,40.44,39.46,41.02,39.3,1606453200000,23298
50,12464104.0,38.702,39.36,38.59,39.8,38.44,1606712400000,46016
51,2456039.0,39.8255,39.53,40.07,40.16,39.04,1606798800000,32186
52,3058496.0,41.2235,40.0,41.6,41.65,39.96,1606885200000,33789
53,2379814.0,42.2996,41.77,42.42,42.75,41.51,1606971600000,27452
54,2967911.0,43.9279,44.15,44.015,44.3,43.0,1607058000000,34111
55,1731255.0,43.1453,43.94,42.91,43.94,42.83,1607317200000,22289
56,1507585.0,42.6979,41.9,42.96,43.185,41.81,1607403600000,19588
57,1662225.0,42.947,43.44,42.72,43.85,42.63,1607490000000,20094
58,1051398.0,42.5687,42.17,42.64,42.875,41.9,1607576400000,15795
59,1673152.0,41.7208,41.38,41.68,42.11,41.27,1607662800000,20261
60,1531336.0,41.1148,42.51,40.71,42.58,40.69,1607922000000,19790
61,1477575.0,41.2603,41.24,41.61,41.62,40.54,1608008400000,17956
62,1681555.0,41.7367,41.62,41.87,42.04,41.15,1608094800000,19944
63,1435000.0,41.8202,41.92,41.87,42.22,41.11,1608181200000,18166
64,3030994.0,41.1411,41.615,41.08,41.86,40.76,1608267600000,15781
65,2265110.0,42.0928,41.26,42.43,42.56,40.88,1608526800000,25314
66,1077766.0,42.3275,42.51,42.04,42.86,42.03,1608613200000,15843
67,706770.0,43.4428,42.29,43.51,43.7,42.29,1608699600000,10573
68,327699.0,43.1557,43.62,43.34,43.62,42.66,1608786000000,4964
69,835630.0,43.5663,43.66,43.36,44.14,43.26,1609131600000,12223
70,1084118.0,42.8424,43.39,42.77,43.39,42.62,1609218000000,14803
71,728422.0,43.185,42.77,43.22,43.47,42.77,1609304400000,11550
