,v,vw,o,c,h,l,t,n
0,2106885.0,160.9201,159.94,160.86,161.97,159.61,1600056000000,19836
1,1066183.0,162.4938,162.25,162.28,163.905,161.695,1600142400000,18165
2,1743605.0,162.1604,163.52,161.25,163.99,161.13,1600228800000,18390
3,1273476.0,159.8741,160.42,160.47,160.51,158.0,1600315200000,17042
4,2823910.0,160.6505,160.11,160.87,161.97,159.1176,1600401600000,21440
5,1189765.0,159.5606,159.34,160.97,161.07,157.42,1600660800000,19285
6,1568133.0,161.5545,160.35,161.51,162.48,160.1,1600747200000,21896
7,1335831.0,160.7245,161.97,159.33,162.67,159.12,1600833600000,18790
8,1439472.0,158.2165,158.84,157.98,159.505,156.53,1600920000000,21960
9,1214088.0,160.0597,157.43,160.84,161.455,157.2464,1601006400000,16603
10,2313851.0,161.678,162.16,161.32,164.3424,161.16,1601265600000,21444
11,1061804.0,162.7191,161.62,162.48,163.41,161.4419,1601352000000,15599
12,1927307.0,165.1936,162.92,165.37,166.79,162.75,1601438400000,23605
13,1082363.0,164.3421,166.23,164.03,166.78,163.1001,1601524800000,20327
14,1066110.0,163.6422,162.38,163.55,164.71,162.0,1601611200000,18817
15,1294460.0,163.4672,164.11,163.45,165.07,162.53,1601870400000,18853
16,1221747.0,162.4975,164.5,161.52,164.5,160.84,1601956800000,17833
17,3602371.0,160.2807,161.7,159.91,163.49,158.95,1602043200000,35942
18,3664731.0,161.4436,161.93,163.17,163.555,159.89,1602129600000,34535
19,1637319.0,164.9403,163.98,165.43,165.64,162.86,1602216000000,18347
20,1615761.0,168.072,167.08,168.55,168.96,166.19,1602475200000,20567
21,1547272.0,166.5376,167.84,165.32,168.06,165.31,1602561600000,19237
22,1340191.0,164.3636,166.54,163.66,166.7,162.79,1602648000000,18391
23,1367226.0,162.5731,162.05,162.99,163.23,161.21,1602734400000,19476
24,1750171.0,163.8821,163.98,163.55,165.845,163.32,1602820800000,19325
25,1299083.0,161.4876,164.62,159.99,165.0,159.42,1603080000000,19794
26,2173424.0,160.1944,160.28,159.69,161.535,159.12,1603166400000,29541
27,1480665.0,161.2007,159.5,161.18,162.13,159.5,1603252800000,20445
28,893114.0,162.3284,161.37,162.38,163.225,161.25,1603339200000,14150
29,1132611.0,163.383,163.1,163.49,164.61,162.25,1603425600000,18126
30,1168865.0,160.4846,162.0,160.48,162.95,158.96,1603684800000,19760
31,1868651.0,162.9445,160.84,162.47,164.48,160.625,1603771200000,20911
32,2184842.0,159.2063,159.76,158.69,161.5135,158.16,1603857600000,25953
33,1558438.0,160.6454,159.46,161.19,162.45,158.13,1603944000000,22474
34,2099675.0,158.1481,160.02,158.55,161.32,156.25,1604030400000,25336
35,1554030.0,162.2598,161.31,162.89,163.26,160.71,1604293200000,26847
36,1540233.0,163.9626,164.64,163.14,165.49,162.9,1604379600000,22221
37,3432117.0,173.0823,165.99,174.35,176.17,165.97,1604466000000,42904
38,2579114.0,172.4789,174.675,170.9,176.64,170.38,1604552400000,32495
39,2043905.0,169.4525,172.0,169.25,172.62,166.26,1604638800000,26843
40,2376227.0,168.8061,175.46,165.2,176.41,165.01,1604898000000,36214
41,2950873.0,162.7674,166.04,162.56,166.9599,160.485,1604984400000,36294
42,1595309.0,164.5057,164.99,164.95,165.92,163.33,1605070800000,22187
43,1203199.0,165.0003,164.16,165.19,166.6,163.79,1605157200000,19237
44,1683976.0,165.7371,165.46,165.78,167.025,164.51,1605243600000,21340
45,1590952.0,165.9984,166.37,165.29,168.52,164.6,1605502800000,21875
46,1228343.0,165.3308,164.49,165.43,166.11,164.07,1605589200000,18065
47,1480623.0,164.2235,165.1,163.5,166.33,163.42,1605675600000,19211
48,1359095.0,165.8292,164.07,166.31,166.94,163.54,1605762000000,20718
49,1282923.0,166.9043,166.86,166.2,168.16,166.14,1605848400000,19069
50,1514141.0,164.0012,166.15,164.34,167.21,162.14,1606107600000,22556
51,2456090.0,162.427,164.39,161.06,166.25,160.47,1606194000000,31275
52,2013701.0,160.1813,161.99,160.19,162.68,159.245,1606280400000,25854
53,853298.0,161.2243,161.62,161.47,162.185,160.29,1606453200000,14690
54,4567871.0,160.4216,162.48,160.38,162.48,159.65,1606712400000,35927
55,1993273.0,161.136,161.64,161.36,162.48,159.985,1606798800000,26989
56,1556514.0,159.7251,161.0,158.95,161.835,158.48,1606885200000,22243
57,2338913.0,157.2879,158.58,157.07,159.085,156.44,1606971600000,26978
58,1517922.0,157.5265,157.16,157.95,158.22,156.66,1607058000000,22600
59,1426818.0,158.3916,157.56,158.45,159.2,157.56,1607317200000,20088
60,1636728.0,158.3365,156.87,158.99,159.5,156.47,1607403600000,21637
61,1541212.0,158.6536,159.69,158.7,160.165,157.66,1607490000000,20350
62,1875924.0,158.5093,159.45,158.12,160.47,157.89,1607576400000,19919
63,1283315.0,158.9201,157.55,159.53,159.62,157.16,1607662800000,18162
64,1634309.0,160.3383,160.1,159.5,162.87,159.085,1607922000000,23189
65,1832689.0,161.0248,160.29,161.96,162.11,158.36,1608008400000,21845
